what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1333147164466
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1333147164467
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1333147164470
started,bundle,net.sourceforge.vrapper.eclipse,0.18.0,"net.sourceforge.vrapper.eclipse",1333147164471
started,bundle,com.xored.glance.ui,0.9.1,"com.xored.glance.ui",1333147164481
started,bundle,com.bandlem.eclipse.fullscreen.ui,1.0.4.201108061054,"com.bandlem.eclipse.fullscreen.ui",1333147164481
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1333147164482
started,bundle,com.python.pydev.analysis,2.4.0.2012020116,"com.python.pydev.analysis",1333147164482
started,bundle,org.python.pydev,2.4.0.2012020116,"org.python.pydev",1333147164513
started,bundle,org.python.pydev.core,2.4.0.2012020116,"org.python.pydev.core",1333147164513
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1333147164514
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1333147164515
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1333147164516
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1333147164517
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1333147164518
os,sysinfo,,,"macosx",1333147164528
arch,sysinfo,,,"x86_64",1333147164528
ws,sysinfo,,,"cocoa",1333147164528
locale,sysinfo,,,"en_US",1333147164528
processors,sysinfo,,,"2",1333147164528
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333147164528
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11D50b",1333147164528
java.specification.name,sysinfo,,,"Java Platform API Specification",1333147164528
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333147164528
java.specification.version,sysinfo,,,"1.6",1333147164528
java.vendor,sysinfo,,,"Apple Inc.",1333147164528
java.version,sysinfo,,,"1.6.0_29",1333147164528
java.vm.info,sysinfo,,,"mixed mode",1333147164528
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1333147164528
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333147164528
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333147164528
java.vm.specification.version,sysinfo,,,"1.0",1333147164528
java.vm.vendor,sysinfo,,,"Apple Inc.",1333147164528
java.vm.version,sysinfo,,,"20.4-b02-402",1333147164528
executed,command,net.sourceforge.vrapper.eclipse,0.18.0,"net.sourceforge.vrapper.eclipse.commands.toggle",1333147164576
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1333147164640
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1333147164736
